iteration,MSE_trg,MSE_val,MSE_tst,acc_trg,acc_val,acc_tst,elapsed
0,0.0848311084356,0.398,0.0784536999805,0.830333333333,0.204,0.843,2.38968586701
10,0.083,0.398,0.0745,0.834,0.204,0.851,27.346324267
20,0.0831666666667,0.4,0.0745,0.833666666667,0.2,0.851,56.715643039
30,0.083,0.4,0.0745,0.834,0.2,0.851,83.263948423
40,0.083,0.4,0.074,0.834,0.2,0.852,112.8034676
50,0.0831666666667,0.4,0.0745,0.833666666667,0.2,0.851,142.068170349
60,0.0831666666667,0.4,0.0745,0.833666666667,0.2,0.851,170.805225379
70,0.0831666254914,0.4,0.0745,0.833666666667,0.2,0.851,200.314741569
80,0.083,0.4,0.0745,0.834,0.2,0.851,230.798652778
90,0.0828333333333,0.4,0.0745,0.834333333333,0.2,0.851,260.615745739
100,0.0831666666667,0.4,0.0745,0.833666666667,0.2,0.851,289.784532537
110,0.0831666666667,0.4,0.0745,0.833666666667,0.2,0.851,319.355991302
120,0.0831666666667,0.4,0.0745,0.833666666667,0.2,0.851,346.959550984
130,0.0831666666667,0.4,0.0745,0.833666666667,0.2,0.851,375.369171512
140,0.0831666666667,0.4,0.0745,0.833666666667,0.2,0.851,404.408328676
150,0.0831666666667,0.4,0.0745,0.833666666667,0.2,0.851,432.980443045
160,0.0831666666667,0.4,0.0745,0.833666666667,0.2,0.851,462.504999722
170,0.0831666666667,0.4,0.0745,0.833666666667,0.2,0.851,489.70548697
180,0.0831666666667,0.4,0.0745,0.833666666667,0.2,0.851,520.893403612
190,0.0831666666667,0.4,0.0745,0.833666666667,0.2,0.851,549.019257318
200,0.0831666666667,0.4,0.0745,0.833666666667,0.2,0.851,577.791071257
210,0.0831666666667,0.4,0.0745,0.833666666667,0.2,0.851,606.236061511
220,0.0831666666667,0.4,0.0745,0.833666666667,0.2,0.851,636.426236571
230,0.0831666666667,0.4,0.0745,0.833666666667,0.2,0.851,665.249811024
240,0.0831666666667,0.4,0.0745,0.833666666667,0.2,0.851,693.148746612
250,0.0831666666667,0.4,0.0745,0.833666666667,0.2,0.851,720.684980692
260,0.0831666666667,0.4,0.0745,0.833666666667,0.2,0.851,750.805255616
270,0.0831666666667,0.4,0.0745,0.833666666667,0.2,0.851,779.874601323
280,0.0831666666667,0.4,0.0745,0.833666666667,0.2,0.851,809.276325416
290,0.0831666666667,0.4,0.0745,0.833666666667,0.2,0.851,836.448860823
300,0.0831666666667,0.4,0.0745,0.833666666667,0.2,0.851,865.408985265
310,0.0831666666667,0.4,0.0745,0.833666666667,0.2,0.851,895.697085183
320,0.0831666666667,0.4,0.0745,0.833666666667,0.2,0.851,927.08869092
330,0.0831666666667,0.4,0.0745,0.833666666667,0.2,0.851,954.887404351
340,0.0831666666667,0.4,0.0745,0.833666666667,0.2,0.851,984.006429932
350,0.0831666666667,0.4,0.0745,0.833666666667,0.2,0.851,1012.92622893
360,0.0831666666667,0.4,0.0745,0.833666666667,0.2,0.851,1041.93514083
370,0.0831666666667,0.4,0.0745,0.833666666667,0.2,0.851,1067.71414649
380,0.0831666666667,0.4,0.0745,0.833666666667,0.2,0.851,1098.22613426
390,0.0831666666667,0.4,0.0745,0.833666666667,0.2,0.851,1126.15898242
400,0.0831666666667,0.4,0.0745,0.833666666667,0.2,0.851,1154.00731544
410,0.0831666666667,0.4,0.0745,0.833666666667,0.2,0.851,1182.12038896
420,0.0831666666667,0.4,0.0745,0.833666666667,0.2,0.851,1206.56668808
430,0.0831666666667,0.4,0.0745,0.833666666667,0.2,0.851,1230.98497811
440,0.0831666666667,0.4,0.0745,0.833666666667,0.2,0.851,1256.4311957
450,0.0831666666667,0.4,0.0745,0.833666666667,0.2,0.851,1281.9549361
460,0.0831666666667,0.4,0.0745,0.833666666667,0.2,0.851,1305.96217389
470,0.0831666666667,0.4,0.0745,0.833666666667,0.2,0.851,1328.54525807
480,0.0831666666667,0.4,0.0745,0.833666666667,0.2,0.851,1354.03316923
490,0.0831666666667,0.4,0.0745,0.833666666667,0.2,0.851,1378.19130265
500,0.0831666666667,0.4,0.0745,0.833666666667,0.2,0.851,1402.97482268
