iteration,MSE_trg,MSE_val,MSE_tst,acc_trg,acc_val,acc_tst,elapsed
0,0.0961678790131,0.375967325096,0.0840025189715,0.807666666667,0.248,0.832,0.171226172
10,0.0966567789162,0.376610214977,0.0863408323271,0.806333333333,0.244,0.827,1.830133169
20,0.0968859230955,0.374136382541,0.0849733138628,0.806,0.252,0.829,3.41826241
30,0.0970284880027,0.377996670438,0.0850546118308,0.806,0.244,0.83,5.237591844
40,0.098125478057,0.377999999542,0.0869911241772,0.803333333333,0.244,0.826,7.037431086
50,0.0981308037913,0.379999991448,0.0871790973966,0.803333333333,0.24,0.825,8.891158225
60,0.0977494370376,0.378,0.0866346000391,0.804,0.244,0.826,10.722891828
70,0.0951197147783,0.388,0.0835080278081,0.809333333333,0.224,0.833,12.539782236
80,0.0943746012289,0.388007420988,0.0829138979149,0.811,0.224,0.834,14.602884046
90,0.0939888304875,0.388007420988,0.0829999992736,0.812,0.224,0.834,16.679171538
100,0.0934847736349,0.389999999983,0.0834963810153,0.813,0.22,0.833,18.759256414
110,0.092836333827,0.389880520359,0.0836131270567,0.814333333333,0.22,0.833,20.661435754
120,0.0928093734558,0.38999998858,0.0839945644046,0.814333333333,0.22,0.832,22.57268644
130,0.0926821951562,0.38999998858,0.0844478149208,0.814666666667,0.22,0.831,24.454917715
140,0.0921816296015,0.389207474024,0.08294889802,0.815666666667,0.22,0.834,26.334203709
150,0.0917344647531,0.389207474024,0.0829460220745,0.816333333333,0.22,0.834,28.202751276
160,0.091532420467,0.390001443479,0.0829386479738,0.817,0.22,0.834,30.179951237
170,0.0915013719094,0.388002843963,0.0828612972901,0.817,0.224,0.834,32.060896618
180,0.0913349549266,0.391999966835,0.0829717545885,0.817333333333,0.216,0.834,33.942428898
190,0.0911735557564,0.391999966835,0.0826102044759,0.817666666667,0.216,0.835,35.848930161
200,0.0911666811055,0.391749677405,0.0819987173662,0.817666666667,0.216,0.836,37.755823569
210,0.0911666688148,0.391749677405,0.0819985402331,0.817666666667,0.216,0.836,39.585351649
220,0.0908335279904,0.39200000023,0.0815145384903,0.818333333333,0.216,0.837,41.486464851
230,0.0907777494103,0.392000000001,0.0828161657281,0.818333333333,0.216,0.834,43.314826539
240,0.0906671844238,0.392003171189,0.0825102810728,0.818666666667,0.216,0.835,45.141115691
250,0.0906666665512,0.392,0.0824962452066,0.818666666667,0.216,0.835,46.986669104
260,0.0905056147074,0.392,0.0806448506549,0.819,0.216,0.838,48.804939627
270,0.0903215721854,0.392,0.0819711737124,0.819333333333,0.216,0.836,50.708850331
280,0.0899950298765,0.392,0.0815045114221,0.82,0.216,0.837,52.563076933
290,0.0893301570273,0.394,0.0805639267028,0.821333333333,0.212,0.839,54.455972111
300,0.0893208488652,0.394,0.0805320815344,0.821333333333,0.212,0.839,56.275472182
310,0.0891666454218,0.394,0.0806144596603,0.821666666667,0.212,0.838,58.157942759
320,0.0884933119254,0.392,0.0809743985015,0.823,0.216,0.838,60.025739922
330,0.0882962688817,0.392,0.0811948735719,0.823333333333,0.216,0.837,61.959746659
340,0.0881293350072,0.392,0.0789695174005,0.823666666667,0.216,0.842,63.882745417
350,0.0875238427896,0.394,0.0790028708892,0.825,0.212,0.842,65.749315029
360,0.0873990978355,0.394,0.0790238724573,0.825,0.212,0.842,67.750108801
370,0.0873335255588,0.394,0.0790233331363,0.825333333333,0.212,0.842,69.635421371
380,0.08693218017,0.394,0.0784981033488,0.826,0.212,0.843,71.601192418
390,0.0868747097192,0.394,0.0785006052677,0.826333333333,0.212,0.843,73.518757403
400,0.0868386072469,0.394,0.0785006297246,0.826333333333,0.212,0.843,75.428877798
410,0.0868333516404,0.394,0.0784953837814,0.826333333333,0.212,0.843,77.33840273
420,0.0868333333339,0.394,0.0785002704058,0.826333333333,0.212,0.843,79.232068237
430,0.0868333333334,0.394,0.0785235928446,0.826333333333,0.212,0.843,81.081076099
440,0.0868333333334,0.395999866492,0.0789999216807,0.826333333333,0.208,0.842,83.008479674
450,0.0868333333327,0.398,0.0784997341938,0.826333333333,0.204,0.843,85.00161988
460,0.0866876630529,0.398,0.0783802499772,0.826666666667,0.204,0.843,86.945705949
470,0.0866673345107,0.398,0.0775,0.826666666667,0.204,0.845,88.796398291
480,0.0858334834231,0.398,0.0765,0.828333333333,0.204,0.847,90.680463036
490,0.0857369558946,0.398,0.0765,0.828333333333,0.204,0.847,92.559583373
500,0.0853401295712,0.4,0.0764999999399,0.829333333333,0.2,0.847,94.473141214
510,0.0853333436888,0.398000000001,0.0764999999399,0.829333333333,0.204,0.847,96.390035606
520,0.0853333436678,0.398442259152,0.0764999999399,0.829333333333,0.204,0.847,98.236537974
530,0.0853333420421,0.399999999999,0.0769999935805,0.829333333333,0.2,0.846,100.087821456
540,0.0853333325391,0.398,0.0769986684255,0.829333333333,0.204,0.846,101.982694837
550,0.0853332556517,0.4,0.076,0.829333333333,0.2,0.848,103.940177559
560,0.0853328113188,0.4,0.076,0.829333333333,0.2,0.848,105.786617798
570,0.0853318291412,0.4,0.076,0.829333333333,0.2,0.848,107.607053148
580,0.0848333333388,0.4,0.076,0.830333333333,0.2,0.848,109.460002814
590,0.0848333333341,0.4,0.0759999999988,0.830333333333,0.2,0.848,111.269504155
600,0.0848330467708,0.4,0.0759999999988,0.830333333333,0.2,0.848,113.08709639
610,0.0848118889612,0.4,0.0759999999993,0.830333333333,0.2,0.848,115.010015203
620,0.0843333333331,0.4,0.0755,0.831333333333,0.2,0.849,116.835116039
630,0.0841683085464,0.4,0.0755,0.831666666667,0.2,0.849,118.687616084
640,0.0841672568722,0.4,0.0755,0.831666666667,0.2,0.849,120.516268985
650,0.0841666666726,0.4,0.0755,0.831666666667,0.2,0.849,122.366030531
660,0.0841666666672,0.4,0.0755,0.831666666667,0.2,0.849,124.196704744
670,0.0840000000006,0.4,0.0755,0.832,0.2,0.849,126.051012137
680,0.0839999999994,0.4,0.075,0.832,0.2,0.85,127.858715515
690,0.0839999998506,0.4,0.075,0.832,0.2,0.85,129.720751254
700,0.0838312944891,0.4,0.0754999999981,0.832333333333,0.2,0.849,131.549678174
710,0.0837549171889,0.4,0.075,0.832333333333,0.2,0.85,133.413217192
720,0.0836666666649,0.4,0.075,0.832666666667,0.2,0.85,135.262905447
730,0.0835000000001,0.4,0.075,0.833,0.2,0.85,137.137792401
740,0.0835,0.4,0.075,0.833,0.2,0.85,139.033712676
750,0.0835,0.4,0.075,0.833,0.2,0.85,140.86693241
760,0.0834999999536,0.4,0.075,0.833,0.2,0.85,142.667645717
770,0.0834999873616,0.4,0.075,0.833,0.2,0.85,144.446672831
780,0.0833327858699,0.4,0.075,0.833333333333,0.2,0.85,146.272106717
790,0.0833326040955,0.4,0.075,0.833333333333,0.2,0.85,148.133509501
800,0.0833326040955,0.4,0.075,0.833333333333,0.2,0.85,149.964565699
810,0.0831666666667,0.4,0.075,0.833666666667,0.2,0.85,151.814275297
820,0.0831666666666,0.4,0.075,0.833666666667,0.2,0.85,153.651987591
830,0.0831666666057,0.4,0.075,0.833666666667,0.2,0.85,155.504865301
840,0.083,0.4,0.075,0.834,0.2,0.85,157.360839046
850,0.083,0.4,0.075,0.834,0.2,0.85,159.202741288
860,0.083,0.4,0.075,0.834,0.2,0.85,161.006261851
870,0.083,0.4,0.075,0.834,0.2,0.85,162.859517432
880,0.083,0.4,0.075,0.834,0.2,0.85,164.683547472
890,0.083,0.4,0.075,0.834,0.2,0.85,166.522176401
900,0.083,0.4,0.075,0.834,0.2,0.85,168.344997083
910,0.083,0.4,0.075,0.834,0.2,0.85,170.148565987
920,0.083,0.4,0.075,0.834,0.2,0.85,171.952036612
930,0.083,0.4,0.075,0.834,0.2,0.85,173.79905433
940,0.083,0.4,0.075,0.834,0.2,0.85,175.581850149
950,0.083,0.4,0.075,0.834,0.2,0.85,177.422628394
960,0.083,0.4,0.075,0.834,0.2,0.85,179.269774921
970,0.083,0.4,0.075,0.834,0.2,0.85,181.0987969
980,0.083,0.4,0.075,0.834,0.2,0.85,182.968793501
990,0.083,0.4,0.075,0.834,0.2,0.85,184.848687197
1000,0.0829999999508,0.4,0.075,0.834,0.2,0.85,186.710906056
1010,0.0829999901059,0.4,0.075,0.834,0.2,0.85,188.570224446
1020,0.0828333333333,0.4,0.075,0.834333333333,0.2,0.85,190.437050411
1030,0.0828333333333,0.4,0.075,0.834333333333,0.2,0.85,192.309068442
1040,0.0828333333333,0.4,0.075,0.834333333333,0.2,0.85,194.110830972
1050,0.0828333333333,0.4,0.075,0.834333333333,0.2,0.85,195.966122397
1060,0.0828333333333,0.4,0.075,0.834333333333,0.2,0.85,197.816048246
1070,0.0828333333333,0.4,0.075,0.834333333333,0.2,0.85,199.640911599
1080,0.0828333333333,0.4,0.075,0.834333333333,0.2,0.85,201.483852551
1090,0.0828333333333,0.4,0.075,0.834333333333,0.2,0.85,203.343085107
1100,0.0828333333333,0.4,0.075,0.834333333333,0.2,0.85,205.152161741
1110,0.0828333333333,0.4,0.075,0.834333333333,0.2,0.85,206.983037589
1120,0.0828333333333,0.4,0.075,0.834333333333,0.2,0.85,208.835898311
1130,0.0826666666667,0.4,0.075,0.834666666667,0.2,0.85,210.708394666
1140,0.0826666666667,0.4,0.075,0.834666666667,0.2,0.85,212.575034571
