iteration,MSE_trg,MSE_val,MSE_tst,acc_trg,acc_val,acc_tst,elapsed
0,0.2165657746,0.246075164535,0.225155611901,0.550666666667,0.496,0.532,0.023367754
10,0.214985186294,0.2495147716,0.225849350885,0.550333333333,0.484,0.53,0.320159457
20,0.215949814783,0.258629876227,0.223215855758,0.55,0.464,0.534,0.573050211
30,0.211700014541,0.255916060903,0.218433178362,0.558,0.472,0.547,0.820459684
40,0.206022978293,0.265979584628,0.215207990183,0.570333333333,0.456,0.555,1.075361
50,0.205260894927,0.264122916704,0.217353254821,0.570333333333,0.456,0.545,1.315218576
60,0.204771150012,0.266038269241,0.215313488184,0.572,0.456,0.552,1.547909431
70,0.199233036414,0.28633148331,0.205300555102,0.584333333333,0.416,0.57,1.808212967
80,0.197550442208,0.289056776559,0.202853450006,0.586666666667,0.416,0.575,2.068345679
90,0.194715278906,0.29461849242,0.197923402962,0.590666666667,0.404,0.587,2.321681311
100,0.191602147155,0.304238233296,0.197652779435,0.596666666667,0.384,0.586,2.573919163
110,0.187660266422,0.305009142223,0.192840149237,0.607,0.38,0.596,2.827442963
120,0.183945218201,0.30775528255,0.189384681962,0.613666666667,0.38,0.6,3.064104975
130,0.181109006939,0.313603996882,0.186499963716,0.62,0.368,0.606,3.31751288
140,0.177535800403,0.315347209189,0.183913959781,0.627666666667,0.356,0.612,3.567861189
150,0.176614444695,0.312530699116,0.182925246484,0.629,0.368,0.615,3.811370944
160,0.175154463954,0.315706471842,0.181268999471,0.632,0.364,0.618,4.050340996
170,0.172833375183,0.318588404594,0.17936456129,0.636666666667,0.36,0.623,4.284995811
180,0.171340735436,0.32078259368,0.178721447316,0.640333333333,0.356,0.627,4.552218112
190,0.1712937212,0.316209896874,0.178049516037,0.640666666667,0.368,0.629,4.809622649
200,0.169743404473,0.317090214073,0.176591264082,0.644333333333,0.364,0.633,5.061777074
210,0.169330321086,0.317904012827,0.177205681842,0.643333333333,0.364,0.629,5.306229799
220,0.169155224898,0.316543389992,0.176602065628,0.644333333333,0.368,0.628,5.544890574
230,0.165036925431,0.305526799008,0.168786255763,0.652666666667,0.38,0.643,5.801791271
240,0.161133629081,0.315168213264,0.164634483989,0.662,0.36,0.654,6.074326897
250,0.160837930728,0.316064849597,0.163744097783,0.663666666667,0.364,0.654,6.28914265
260,0.160009124664,0.32180893745,0.161878526696,0.662666666667,0.356,0.66,6.541209039
270,0.158456910966,0.322334662082,0.160912631419,0.668,0.352,0.66,6.78298969
280,0.153725526604,0.316573945634,0.150080757204,0.678666666667,0.36,0.684,7.003904497
290,0.153685677944,0.314861959034,0.151161087496,0.678666666667,0.364,0.682,7.209747383
300,0.153321090204,0.314096774115,0.153477922359,0.680666666667,0.36,0.677,7.401073835
310,0.148732633018,0.320940800875,0.146451104506,0.691333333333,0.352,0.69,7.605190106
320,0.133180738148,0.331795079842,0.130696610142,0.725,0.332,0.728,7.814474989
