iteration,MSE_trg,MSE_val,MSE_tst,acc_trg,acc_val,acc_tst,elapsed
0,0.35778938177,0.158,0.369518408942,0.284333333333,0.684,0.261,1.734635003
10,0.356800966573,0.158,0.369053794848,0.286333333333,0.684,0.262,20.192069864
20,0.355651314905,0.158,0.368499097269,0.288666666667,0.684,0.263,38.057582811
30,0.353004088333,0.160000512908,0.368042885928,0.294,0.68,0.264,57.855799133
40,0.351475032684,0.168000512908,0.36386778586,0.296666666667,0.664,0.272,76.295175238
50,0.350357153445,0.172,0.361730254057,0.299333333333,0.656,0.276,95.612355795
60,0.347707443531,0.172,0.361999545035,0.304333333333,0.656,0.276,114.886021972
70,0.347497749202,0.172,0.360491998831,0.305,0.656,0.279,133.448841156
80,0.347492192728,0.172,0.359007012325,0.305,0.656,0.282,152.193320331
90,0.346498058744,0.173999997875,0.356569285699,0.307,0.652,0.287,172.369887483
100,0.346489790069,0.173999997875,0.356569284377,0.307,0.652,0.287,192.873414201
110,0.346237223288,0.174,0.356560745899,0.307333333333,0.652,0.287,211.393254486
120,0.345327641775,0.174,0.355467699107,0.309333333333,0.652,0.289,232.618351939
130,0.345299839309,0.174,0.355371105369,0.309333333333,0.652,0.289,252.076274353
140,0.344821051097,0.174,0.35440829227,0.310333333333,0.652,0.291,272.20184152
150,0.343820944949,0.174,0.352013614273,0.312333333333,0.652,0.296,292.096519569
160,0.343487323767,0.174,0.352585891183,0.313,0.652,0.295,311.825327278
170,0.341603218003,0.174,0.349440918533,0.316333333333,0.652,0.301,331.150593352
180,0.333853504761,0.18,0.343634080951,0.332333333333,0.64,0.312,349.277416628
190,0.333484868686,0.18,0.34410561418,0.333,0.64,0.311,366.982857312
200,0.332630280967,0.18,0.342209550683,0.334666666667,0.64,0.315,384.499545036
210,0.331998943068,0.18,0.340564487035,0.336,0.64,0.319,402.588234558
220,0.331799247463,0.179999999962,0.340499999998,0.336333333333,0.64,0.319,421.213516082
230,0.331592488638,0.179999999962,0.340005197149,0.336666666667,0.64,0.32,439.156192155
240,0.330662516803,0.183965301043,0.338502826262,0.338666666667,0.632,0.323,457.321120842
250,0.329509029097,0.181999991349,0.336997337401,0.341,0.636,0.326,475.395747962
260,0.329256665846,0.181999999973,0.337028264213,0.341333333333,0.636,0.326,493.489078731
270,0.3292566558,0.181999999863,0.337023793067,0.341333333333,0.636,0.326,511.203379686
