iteration,MSE_trg,MSE_val,MSE_tst,acc_trg,acc_val,acc_tst,elapsed
0,0.258093637879,0.272739299001,0.253016379951,0.473666666667,0.452,0.485,0.0234290020003
10,0.255025249235,0.275044977162,0.250545851053,0.480333333333,0.448,0.487,0.261635528999
20,0.258686563141,0.272818966725,0.252548263018,0.472666666667,0.452,0.482,0.463581819999
30,0.258588811526,0.274504849888,0.253883009734,0.473,0.452,0.479,0.694811891999
40,0.26251062227,0.260327020768,0.258112255234,0.463,0.476,0.474,0.896677908999
50,0.256957008691,0.267495101284,0.250115550377,0.478333333333,0.464,0.494,1.159545607
60,0.254793973506,0.262233077146,0.247581425747,0.481666666667,0.472,0.498,1.40677089
70,0.254417499715,0.261808415039,0.24840617698,0.482666666667,0.476,0.499,1.640411191
80,0.252229574433,0.265060720213,0.245108035238,0.487333333333,0.468,0.503,1.883364575
90,0.249690370459,0.265705694154,0.241189759102,0.492333333333,0.468,0.513,2.130993607
100,0.245277222599,0.274907361376,0.235161347175,0.501,0.448,0.524,2.423255561
110,0.244150301645,0.275254731442,0.234632702131,0.502,0.444,0.526,2.687072529
120,0.244150301645,0.275254731442,0.234632702131,0.502,0.444,0.526,2.923570267
130,0.239845453604,0.268121485285,0.230665055775,0.512333333333,0.456,0.532,3.16369536
140,0.237159668228,0.270648897256,0.229130811455,0.517,0.456,0.535,3.439657548
150,0.234503079564,0.268258042747,0.226138070208,0.522333333333,0.46,0.543,3.684079604
160,0.226443550429,0.275533148626,0.220856424556,0.537666666667,0.448,0.552,3.923629098
170,0.223823100163,0.273871583672,0.220316829684,0.543,0.452,0.55,4.178159134
180,0.222000890344,0.272071205992,0.218638408599,0.546333333333,0.456,0.555,4.421148327
190,0.216846532299,0.276718167163,0.213644896396,0.557333333333,0.444,0.564,4.690140431
200,0.195204143383,0.289757218028,0.194785389191,0.603,0.42,0.601,4.95973775
210,0.195092984043,0.288443751904,0.195506043944,0.603333333333,0.42,0.601,5.230528375
220,0.192581558194,0.286925464805,0.193615409575,0.609,0.424,0.605,5.484668475
230,0.189730692942,0.285652072565,0.190003267794,0.615666666667,0.428,0.615,5.757474354
240,0.178611332344,0.292081326572,0.181652185075,0.636,0.412,0.633,5.998397867
250,0.175489040261,0.293964834158,0.179393879801,0.643333333333,0.408,0.638,6.254806272
260,0.17146992882,0.295237211179,0.177583400364,0.650666666667,0.404,0.64,6.500274455
270,0.170550802791,0.29696103245,0.177537057455,0.651333333333,0.404,0.64,6.749142479
280,0.166453853675,0.300366363138,0.171732503014,0.660333333333,0.396,0.648,6.992932894
290,0.16503157035,0.296386818837,0.169820238895,0.664,0.408,0.655,7.233936402
300,0.161768282196,0.294087544958,0.168622779997,0.668333333333,0.412,0.658,7.512657779
310,0.159881521538,0.293070229794,0.167768330017,0.673333333333,0.408,0.66,7.828976437
